Gender,Senior Citizen,Marital Status,Dependents,tenure in months,Priority Account,Credit Cards,Loan Account,Netbanking,Debit Card,MobileApp,TechSupport Availed,Zero Balance Account,FDs,Interest Deposited,Paperless Banking,Monthly Average Balance (USD),Yearly Average Balance (USD),Churn,Customer Feedback,Category,Recommendation
0,0,1,1.0,35.0,1.0,0.0,-1.0,1.0,0,0,1.0,0.0,0.0,1,1.0,54.95,1916,0.0,The Current Account management is very convenient.,1.0,
0,0,0,0.0,11.0,1.0,1.0,-1.0,0.0,0,0,0.0,0.0,1.0,2,1.0,58.95,601.6,0.0,The fixed deposit rates are not competitive.,7.0,
0,0,0,0.0,36.0,1.0,0.0,-1.0,0.0,1,0,0.0,1.0,1.0,2,1.0,94.8,3565.65,0.0,The Current Account online services are very reliable.,1.0,
1,1,0,0.0,30.0,1.0,,-1.0,1.0,1,0,0.0,1.0,1.0,2,1.0,74.75,2111.3,0.0,The Savings Account services are very reliable.,3.0,
1,0,0,0.0,1.0,1.0,0.0,-1.0,0.0,0,0,0.0,0.0,1.0,2,1.0,55.0,55,1.0,The Savings Account minimum balance requirement is too high.,3.0,
1,1,0,0.0,13.0,1.0,1.0,-1.0,0.0,1,1,0.0,1.0,1.0,2,1.0,106.9,1364.3,1.0,The mobile app does not support my device.,5.0,
1,0,0,0.0,13.0,0.0,0.0,-1.0,1.0,0,0,1.0,1.0,0.0,2,1.0,45.55,597,1.0,The loan disbursement process is very slow.,2.0,
0,0,0,0.0,68.0,1.0,1.0,-1.0,1.0,0,0,0.0,0.0,0.0,2,0.0,54.45,3687.75,0.0,Can I get a Loan against my Fixed Deposit?,2.0,
0,0,0,0.0,1.0,0.0,0.0,-1.0,0.0,1,0,0.0,0.0,0.0,2,0.0,29.95,29.95,1.0,The ATM is often out of service.,8.0,
1,0,0,0.0,61.0,1.0,1.0,-1.0,1.0,0,1,0.0,1.0,1.0,2,1.0,106.45,6300.15,0.0,Can I set up automatic bill payments from my account?,9.0,
1,0,1,1.0,3.0,1.0,0.0,-1.0,0.0,0,1,0.0,0.0,0.0,2,1.0,50.15,168.15,1.0,The loan application process is too complicated.,2.0,
1,0,1,1.0,7.0,1.0,0.0,-1.0,1.0,0,0,0.0,1.0,1.0,2,0.0,69.7,516.15,0.0,The branch is not accessible for disabled customers.,6.0,
1,0,0,0.0,50.0,1.0,1.0,-1.0,1.0,1,1,1.0,1.0,1.0,1,0.0,114.35,5791.1,0.0,The bank's customer service chat is very helpful.,9.0,
0,0,0,0.0,13.0,0.0,0.0,-1.0,1.0,0,0,0.0,0.0,0.0,2,1.0,30.85,394.1,0.0,The ATM fees are too high.,8.0,
1,0,0,0.0,47.0,1.0,1.0,-1.0,0.0,1,1,0.0,1.0,1.0,1,1.0,103.1,4889.3,0.0,The Current Account mobile app crashes frequently.,1.0,
1,0,1,1.0,43.0,1.0,0.0,-1.0,1.0,0,1,1.0,1.0,1.0,0,1.0,79.15,3566.6,0.0,The bank's online services are very reliable.,9.0,
0,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0.0,,19.45,0.0,How do I close my Current Account?,1.0,
1,1,1,0.0,11.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0.0,19.95,214.75,1.0,The mobile banking app does not have biometric login.,5.0,
0,1,0,0.0,17.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0.0,20.65,330.6,0.0,The bank's customer service is not helpful at all.,9.0,
1,0,1,1.0,71.0,1.0,1.0,-1.0,1.0,1,0,1.0,0.0,0.0,1,1.0,66.85,4748.7,0.0,The process of getting a new Debit Card was very quick and easy.,4.0,
1,0,1,0.0,72.0,1.0,1.0,-1.0,0.0,1,1,1.0,1.0,1.0,0,1.0,85.15,6316.2,0.0,The fixed deposit interest rates are very attractive.,7.0,
1,0,1,1.0,60.0,1.0,1.0,-1.0,1.0,0,1,0.0,1.0,0.0,1,1.0,95.4,5812,0.0,The ATM near my office is always functional.,8.0,
0,1,0,0.0,44.0,1.0,1.0,-1.0,1.0,1,1,0.0,1.0,1.0,1,1.0,109.8,4860.35,0.0,The process of opening a Current Account took too long.,1.0,
0,0,0,0.0,3.0,1.0,0.0,-1.0,0.0,1,0,0.0,1.0,1.0,2,1.0,95.1,307.4,1.0,The loan approval process is too slow and cumbersome.,2.0,
0,1,1,0.0,4.0,1.0,1.0,-1.0,0.0,0,0,0.0,1.0,0.0,2,1.0,83.25,308.05,0.0,The Credit Card billing process is confusing.,0.0,
1,0,0,0.0,1.0,1.0,0.0,-1.0,1.0,0,0,0.0,0.0,0.0,2,1.0,48.55,48.55,1.0,The Debit Card PIN reset process is very confusing.,10.0,
0,1,0,0.0,13.0,1.0,0.0,-1.0,0.0,1,1,0.0,0.0,0.0,2,1.0,54.8,731.3,0.0,The mobile banking app does not have biometric login.,5.0,
1,0,0,0.0,66.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,19.7,1253.8,0.0,The overdraft protection for Current Accounts is very helpful.,1.0,
1,0,1,1.0,39.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,23.8,903.8,0.0,I am happy with the fixed deposit maturity process.,7.0,
1,0,1,1.0,7.0,1.0,0.0,-1.0,1.0,0,1,1.0,0.0,1.0,2,1.0,71.35,515.75,0.0,The Savings Account opening process is very easy.,3.0,
0,0,1,0.0,46.0,1.0,0.0,-1.0,0.0,1,0,1.0,1.0,0.0,0,1.0,64.2,3009.5,0.0,The online banking interface is very intuitive.,12.0,
1,0,1,1.0,50.0,1.0,1.0,-1.0,0.0,1,1,0.0,1.0,1.0,2,1.0,103.85,5017.9,1.0,The mobile app does not support multiple accounts.,5.0,
1,1,1,0.0,68.0,1.0,1.0,-1.0,0.0,0,1,0.0,0.0,0.0,2,1.0,80.35,5589.3,0.0,Can I get a passbook for my Savings Account?,3.0,
0,0,1,1.0,61.0,1.0,1.0,-1.0,1.0,1,1,1.0,1.0,1.0,0,0.0,115.1,7008.15,0.0,The Credit Card complimentary insurance is very good.,0.0,
0,0,0,0.0,4.0,1.0,0.0,-1.0,0.0,0,0,0.0,0.0,0.0,2,0.0,45.65,191.05,1.0,The Debit Card PIN reset process is confusing.,10.0,
1,1,1,0.0,20.0,1.0,1.0,-1.0,0.0,1,0,1.0,1.0,,2,0.0,107.05,2172.05,0.0,The online banking customer support is very helpful.,12.0,
1,0,0,0.0,34.0,1.0,1.0,-1.0,0.0,1,1,0.0,1.0,1.0,2,1.0,106.35,3549.25,1.0,The loan approval process took too long.,2.0,
0,0,0,0.0,7.0,1.0,1.0,-1.0,0.0,1,0,0.0,0.0,0.0,2,1.0,78.55,522.95,0.0,The Savings Account minimum balance requirement is too high.,3.0,
0,0,0,0.0,1.0,1.0,0.0,-1.0,0.0,0,0,1.0,0.0,0.0,2,1.0,52.2,52.2,1.0,The Savings Account minimum balance requirement is too high.,3.0,
0,0,1,0.0,56.0,1.0,0.0,-1.0,1.0,0,1,0.0,0.0,0.0,0,0.0,80.3,4513.65,0.0,The loan prepayment charges are too high.,2.0,
1,0,0,0.0,6.0,1.0,0.0,-1.0,0.0,1,0,0.0,1.0,0.0,2,1.0,85.35,489.45,1.0,The loan processing fee is too high.,2.0,
0,0,1,0.0,67.0,1.0,1.0,-1.0,1.0,0,1,1.0,1.0,1.0,1,1.0,111.25,7511.65,0.0,The ATM is often out of service.,8.0,
0,0,1,0.0,2.0,1.0,0.0,-1.0,0.0,0,0,0.0,0.0,0.0,2,1.0,44.6,80.55,1.0,The loan interest rates are not competitive.,2.0,
1,0,0,0.0,41.0,1.0,1.0,-1.0,0.0,0,1,0.0,0.0,1.0,1,0.0,65.0,2531.8,0.0,The Savings Account minimum balance requirement is too high.,3.0,
1,0,1,1.0,58.0,1.0,1.0,-1.0,0.0,1,0,1.0,1.0,0.0,1,1.0,94.7,5430.35,0.0,I faced several issues while transferring money from my Current Account.,1.0,
1,0,0,0.0,53.0,1.0,1.0,-1.0,0.0,1,1,1.0,0.0,1.0,0,1.0,73.9,3958.25,0.0,The Debit Card PIN reset process is very confusing.,10.0,
1,0,1,1.0,72.0,1.0,1.0,-1.0,1.0,0,1,0.0,1.0,1.0,1,1.0,106.1,7848.5,0.0,I am happy with the travel benefits on my Credit Card.,0.0,
0,1,0,0.0,2.0,1.0,0.0,-1.0,0.0,0,0,0.0,0.0,0.0,2,1.0,44.3,89.3,0.0,The cashback offers on Credit Cards are very attractive.,11.0,
1,0,1,1.0,34.0,0.0,0.0,-1.0,0.0,0,1,1.0,1.0,0.0,2,1.0,44.85,1442.6,0.0,The rewards program for Credit Cards is very beneficial.,11.0,
1,0,0,1.0,51.0,1.0,0.0,-1.0,0.0,0,0,1.0,0.0,0.0,1,0.0,47.85,2356.75,0.0,How do I open a Current Account?,1.0,
0,0,0,,23.0,1.0,0.0,-1.0,1.0,0,0,0.0,0.0,0.0,2,1.0,75.0,1778.5,0.0,My Credit Card is not linked to my account.,0.0,
0,1,0,0.0,4.0,1.0,1.0,-1.0,0.0,0,0,0.0,1.0,1.0,2,1.0,94.3,424.45,1.0,The Debit Card issuance process is very slow.,4.0,
1,0,0,0.0,25.0,1.0,1.0,-1.0,1.0,1,1,1.0,0.0,1.0,2,0.0,81.75,2028.8,0.0,How do I change my contact information with the bank?,9.0,
1,0,1,0.0,28.0,1.0,0.0,-1.0,1.0,1,0,1.0,0.0,0.0,2,0.0,60.9,1785.65,0.0,The Current Account overdraft fees are exorbitant.,1.0,
0,0,0,0.0,43.0,1.0,0.0,-1.0,0.0,1,1,0.0,1.0,0.0,2,1.0,91.65,3954.1,0.0,I lost my Savings Account passbook. How can I get a new one?,3.0,
0,0,1,1.0,1.0,1.0,0.0,-1.0,0.0,1,0,0.0,0.0,0.0,2,1.0,74.7,74.7,1.0,The loan disbursement process is very slow.,2.0,
1,0,0,1.0,71.0,1.0,1.0,-1.0,1.0,0,1,0.0,1.0,1.0,0,0.0,106.7,7382.25,0.0,The Credit Card cashback offers are very good.,0.0,
0,0,0,0.0,1.0,1.0,1.0,-1.0,0.0,0,0,0.0,0.0,1.0,2,1.0,85.0,85,1.0,The loan disbursement process is very slow.,2.0,
1,0,0,0.0,35.0,1.0,0.0,-1.0,1.0,1,1,0.0,0.0,0.0,1,0.0,61.2,2021.2,0.0,The Debit Card PIN reset process is confusing.,10.0,
1,0,0,0.0,15.0,1.0,1.0,-1.0,0.0,0,0,0.0,1.0,1.0,2,1.0,93.35,1444.65,1.0,The Savings Account mobile app is very glitchy.,3.0,
1,0,1,1.0,68.0,1.0,1.0,-1.0,1.0,1,1,1.0,1.0,1.0,0,1.0,88.85,6132.7,0.0,The online application process for Credit Cards is very easy.,11.0,
0,0,0,0.0,39.0,1.0,0.0,-1.0,1.0,0,0,0.0,0.0,0.0,1,1.0,47.85,1886.4,0.0,My Credit Card is not generating a credit score.,0.0,
1,0,0,0.0,1.0,1.0,0.0,-1.0,0.0,1,0,0.0,0.0,0.0,2,0.0,50.65,50.65,1.0,The ATM fees are too high.,8.0,
1,0,1,1.0,35.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,20.1,655.3,0.0,I faced difficulty in getting my Credit Card activated.,11.0,
1,0,0,0.0,50.0,1.0,0.0,-1.0,1.0,1,0,1.0,0.0,1.0,2,1.0,93.5,4747.5,0.0,The loan tenure options are very flexible.,2.0,
0,0,1,0.0,49.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,20.15,973.35,0.0,The fixed deposit maturity process is very smooth.,7.0,
1,1,1,0.0,20.0,1.0,0.0,-1.0,0.0,1,0,0.0,0.0,0.0,2,1.0,73.65,1463.5,1.0,My Debit Card was not delivered on time.,4.0,
1,0,1,1.0,15.0,1.0,0.0,-1.0,0.0,1,1,1.0,0.0,1.0,2,1.0,69.5,1071.4,0.0,The ATM network is very unreliable.,8.0,
1,0,1,1.0,66.0,1.0,1.0,-1.0,0.0,0,1,0.0,1.0,0.0,0,1.0,63.3,4189.7,0.0,The Current Account statement is very easy to access.,1.0,
0,0,0,0.0,12.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,1.0,19.35,219.35,0.0,The customer service for Savings Accounts is excellent.,3.0,
0,0,0,1.0,3.0,1.0,0.0,-1.0,1.0,0,0,1.0,0.0,1.0,2,1.0,64.5,177.4,0.0,The Current Account maintenance charges are too high.,1.0,
1,0,0,0.0,8.0,1.0,1.0,-1.0,0.0,0,0,0.0,0.0,1.0,2,0.0,84.5,662.65,1.0,The ATM withdrawal limit is too low.,8.0,
0,0,1,0.0,25.0,1.0,0.0,-1.0,0.0,0,0,1.0,1.0,1.0,2,1.0,95.15,2395.7,0.0,What documents are needed for loan application?,2.0,
1,0,0,0.0,36.0,1.0,0.0,-1.0,1.0,0,1,1.0,1.0,1.0,2,1.0,79.2,,0.0,How do I get a statement for my Savings Account?,3.0,
0,0,0,0.0,13.0,1.0,1.0,-1.0,0.0,0,0,0.0,0.0,1.0,2,1.0,85.95,1215.65,0.0,The loan officers are very knowledgeable and helpful.,2.0,
0,1,0,0.0,1.0,1.0,0.0,-1.0,0.0,0,1,0.0,0.0,0.0,2,1.0,75.3,75.3,1.0,The fixed deposit rates are not competitive.,7.0,
0,0,0,0.0,43.0,1.0,1.0,-1.0,1.0,1,1,1.0,1.0,1.0,0,0.0,115.05,4895.1,0.0,How do I get an overdraft on my Current Account?,1.0,
1,0,1,1.0,13.0,1.0,0.0,-1.0,1.0,0,0,0.0,0.0,0.0,2,1.0,49.95,587.45,0.0,I am satisfied with the easy fund transfer from my Current Account.,1.0,
1,0,0,0.0,1.0,1.0,0.0,-1.0,0.0,0,0,1.0,0.0,0.0,2,1.0,49.3,49.3,0.0,How do I get a Demand Draft from my Current Account?,1.0,
0,0,1,1.0,46.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,19.95,927.1,0.0,The loan interest rates are very competitive.,2.0,
1,0,0,0.0,,1.0,0.0,-1.0,0.0,0,1,1.0,1.0,0.0,2,1.0,63.95,318.1,0.0,My Debit Card is damaged.,10.0,
0,0,0,0.0,2.0,1.0,0.0,-1.0,0.0,0,1,0.0,0.0,1.0,2,1.0,86.2,178.7,1.0,The loan processing fees were not clearly communicated.,2.0,
1,1,1,0.0,52.0,1.0,1.0,-1.0,0.0,1,1,0.0,1.0,1.0,1,1.0,105.1,5376.4,0.0,The online banking system is often down.,12.0,
0,1,0,0.0,49.0,1.0,0.0,-1.0,0.0,1,1,0.0,0.0,1.0,1,1.0,89.85,4287.2,0.0,The Savings Account services are very reliable.,3.0,
0,0,0,1.0,62.0,1.0,1.0,-1.0,0.0,0,1,0.0,1.0,1.0,1,1.0,100.15,6413.65,1.0,The ATM is often out of service.,8.0,
0,1,0,0.0,4.0,1.0,1.0,-1.0,0.0,0,0,0.0,1.0,1.0,2,,95.45,396.1,1.0,The Current Account overdraft fees are exorbitant.,1.0,
1,0,1,0.0,65.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,20.4,1414.45,0.0,The loan processing fee is too high.,2.0,
0,0,0,0.0,26.0,0.0,0.0,-1.0,0.0,0,1,1.0,1.0,0.0,2,1.0,44.45,1183.8,0.0,I am happy with the fixed deposit maturity process.,7.0,
1,0,1,0.0,56.0,1.0,1.0,-1.0,0.0,1,0,0.0,1.0,1.0,1,0.0,100.3,5614.45,1.0,The branch does not have enough seating.,6.0,
1,0,1,0.0,51.0,1.0,1.0,-1.0,0.0,1,0,0.0,0.0,1.0,1,1.0,90.35,4614.55,0.0,The mobile banking app does not have biometric login.,5.0,
1,0,0,0.0,46.0,1.0,1.0,-1.0,0.0,1,1,1.0,1.0,1.0,0,0.0,108.65,4903.2,0.0,The Debit Card is not accepted at many places.,10.0,
0,1,0,0.0,7.0,1.0,0.0,-1.0,0.0,0,1,0.0,1.0,0.0,2,1.0,84.35,609.65,0.0,The overall banking services are satisfactory and meet my needs.,9.0,
1,0,0,0.0,30.0,1.0,1.0,-1.0,0.0,0,0,1.0,0.0,1.0,2,1.0,89.9,2723.15,0.0,The loan officers were not very knowledgeable.,2.0,
1,0,1,0.0,60.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0.0,24.15,1505.9,0.0,The online banking transactions are very secure.,12.0,
0,0,1,0.0,61.0,1.0,1.0,-1.0,0.0,1,0,0.0,1.0,1.0,0,1.0,101.05,5971.25,0.0,The overdraft protection for Current Accounts is very helpful.,1.0,
1,0,0,0.0,12.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0.0,20.05,265.45,0.0,How do I get a Current Account statement by branch visit?,1.0,
0,0,0,1.0,44.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,19.9,868.1,0.0,The Current Account online services are very reliable.,1.0,
0,0,0,1.0,8.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0.0,19.95,170.9,0.0,I am happy with the quick resolution from customer support.,,
1,0,0,0.0,1.0,1.0,0.0,-1.0,0.0,0,0,0.0,0.0,0.0,2,1.0,45.7,45.7,1.0,The branch is always very crowded.,6.0,
1,0,0,0.0,1.0,1.0,1.0,-1.0,0.0,0,0,0.0,0.0,1.0,2,1.0,86.6,86.6,1.0,The Credit Card billing process is confusing.,0.0,
1,0,1,0.0,4.0,1.0,0.0,-1.0,0.0,0,1,1.0,0.0,0.0,2,1.0,80.6,319.15,1.0,The branch is not accessible for disabled customers.,6.0,
1,0,0,1.0,48.0,1.0,1.0,-1.0,1.0,0,1,0.0,1.0,1.0,1,1.0,78.75,3682.45,0.0,The loan processing fees were not clearly communicated.,2.0,
0,0,1,0.0,24.0,1.0,0.0,-1.0,0.0,1,0,0.0,1.0,1.0,2,1.0,69.45,1614.05,0.0,The Current Account opening process was very easy.,1.0,
0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0.0,19.85,19.85,0.0,The customer service for my Loan is unresponsive.,2.0,
0,1,0,0.0,22.0,1.0,0.0,-1.0,1.0,1,0,0.0,0.0,0.0,2,0.0,81.7,1820.9,0.0,The mobile banking app is very user-friendly.,5.0,
1,1,0,0.0,3.0,1.0,1.0,-1.0,0.0,1,0,0.0,0.0,0.0,2,1.0,81.35,233.7,1.0,The mobile banking app does not support multiple accounts.,5.0,
1,0,0,0.0,1.0,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0.0,20.2,20.2,0.0,I am facing an issue with my Credit Card.,11.0,
1,0,0,0.0,1.0,0.0,0.0,-1.0,0.0,0,0,0.0,0.0,0.0,2,0.0,25.35,25.35,0.0,The Savings Account services are very reliable.,3.0,
0,0,1,1.0,64.0,0.0,0.0,-1.0,0.0,1,0,1.0,1.0,1.0,0,1.0,54.6,3423.5,0.0,The loan approval process is too slow.,2.0,
0,0,1,0.0,27.0,1.0,1.0,-1.0,0.0,0,1,0.0,0.0,1.0,2,0.0,90.15,2423.4,0.0,The mobile banking app does not have biometric login.,5.0,
0,0,1,1.0,59.0,1.0,0.0,-1.0,0.0,1,0,1.0,1.0,1.0,0,1.0,75.95,4542.35,0.0,How do I request a new Debit Card?,4.0,
0,0,1,0.0,34.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0.0,24.7,780.2,0.0,The loan prepayment charges are too high.,2.0,
0,0,0,0.0,29.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0.0,25.15,702,0.0,Can I use my Debit Card for online purchases?,4.0,
1,0,1,1.0,62.0,1.0,0.0,-1.0,1.0,1,1,1.0,1.0,1.0,0,0.0,86.1,5215.25,0.0,I was not informed about the processing fees for my loan.,2.0,
1,0,0,0.0,10.0,1.0,1.0,-1.0,1.0,0,0,0.0,1.0,1.0,2,0.0,98.55,1008.55,1.0,The branch does not have enough seating.,6.0,
0,0,0,0.0,1.0,0.0,0.0,-1.0,0.0,0,0,0.0,0.0,0.0,2,0.0,25.25,25.25,0.0,The fixed deposit renewal process is very easy.,7.0,
1,0,0,0.0,2.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,1.0,19.65,38.8,0.0,The Savings Account interest rates are very competitive.,3.0,
1,0,1,0.0,34.0,1.0,1.0,-1.0,0.0,0,1,0.0,1.0,1.0,2,1.0,100.05,3480,1.0,The online banking system is often down.,12.0,
1,0,1,1.0,15.0,1.0,0.0,-1.0,1.0,0,0,1.0,1.0,1.0,1,0.0,101.9,1667.25,0.0,The mobile banking app crashes frequently.,5.0,
0,0,1,1.0,71.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,25.45,1813.35,0.0,The branch is always crowded.,6.0,
0,1,1,0.0,70.0,1.0,1.0,-1.0,0.0,0,0,0.0,0.0,0.0,0,1.0,75.65,5411.4,0.0,The Current Account online banking features are very convenient.,1.0,
0,0,0,0.0,35.0,1.0,1.0,-1.0,0.0,1,0,1.0,0.0,0.0,2,0.0,85.3,2917.5,1.0,I was charged a fee for closing my Savings Account.,3.0,
1,0,1,1.0,71.0,1.0,0.0,-1.0,1.0,0,1,1.0,0.0,1.0,0,1.0,70.85,4973.4,0.0,Can I use my account for wire transfers?,9.0,
1,1,0,0.0,8.0,1.0,0.0,-1.0,1.0,0,0,1.0,1.0,1.0,2,0.0,100.3,832.35,1.0,I faced issues with fraudulent transactions on my Credit Card.,11.0,
1,0,1,0.0,48.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,19.25,855.1,0.0,I had a hard time disputing a charge on my Credit Card.,11.0,
1,0,0,0.0,44.0,1.0,1.0,-1.0,0.0,0,1,0.0,0.0,1.0,2,1.0,90.4,4063,0.0,The branch has a very long wait time.,6.0,
0,0,1,0.0,34.0,1.0,1.0,-1.0,1.0,0,0,1.0,0.0,0.0,2,1.0,60.85,2003.6,0.0,How do I check my Savings Account balance online?,3.0,
1,0,1,1.0,72.0,1.0,1.0,-1.0,1.0,1,1,0.0,1.0,1.0,0,1.0,110.3,7966.9,0.0,The Current Account customer service is excellent.,1.0,
0,1,0,0.0,30.0,1.0,1.0,-1.0,1.0,1,1,0.0,0.0,0.0,2,0.0,91.7,2758.15,1.0,The branch does not have enough seating.,6.0,
1,0,0,0.0,1.0,1.0,1.0,-1.0,0.0,0,0,0.0,0.0,0.0,2,1.0,75.1,75.1,0.0,The Credit Card rewards program is excellent.,0.0,
1,0,1,1.0,34.0,0.0,0.0,-1.0,1.0,0,0,0.0,0.0,0.0,1,0.0,30.4,938.65,0.0,How do I get a Savings Account statement by SMS?,3.0,
1,1,1,1.0,35.0,1.0,0.0,-1.0,0.0,1,0,1.0,1.0,1.0,2,1.0,76.05,2747.2,0.0,The bank's fraud protection services are very effective.,9.0,
0,0,1,1.0,20.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,2,1.0,25.55,507.4,0.0,The branch is not accessible for disabled customers.,6.0,
1,0,0,0.0,29.0,1.0,1.0,-1.0,0.0,0,0,0.0,0.0,1.0,2,1.0,84.9,2516.2,0.0,The online banking transactions are very secure.,12.0,
0,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,1.0,20.65,20.65,0.0,Can I pay my Credit Card bill online?,11.0,
0,1,1,0.0,72.0,1.0,1.0,-1.0,1.0,1,1,1.0,1.0,1.0,0,1.0,89.85,6697.35,0.0,I want to open a Fixed Deposit.,3.0,
0,0,1,0.0,2.0,1.0,0.0,-1.0,1.0,0,0,0.0,0.0,0.0,2,1.0,74.4,139.4,1.0,The loan processing time is too long.,2.0,
1,1,1,1.0,72.0,1.0,1.0,-1.0,1.0,1,1,1.0,1.0,1.0,0,1.0,114.95,8196.4,0.0,The ATM charges are too high.,8.0,
0,0,1,1.0,38.0,1.0,0.0,-1.0,1.0,1,0,1.0,1.0,1.0,1,0.0,80.3,3058.65,1.0,The mobile banking app crashes frequently.,5.0,
1,0,1,1.0,51.0,1.0,1.0,-1.0,1.0,1,0,1.0,1.0,1.0,1,0.0,110.05,5686.4,0.0,What documents are required for a Home Loan?,2.0,
1,1,0,0.0,3.0,0.0,0.0,-1.0,0.0,0,1,0.0,0.0,1.0,2,1.0,41.15,132.2,1.0,The ATM fees are too high.,8.0,
1,0,1,1.0,27.0,1.0,0.0,-1.0,1.0,1,0,0.0,0.0,0.0,2,1.0,54.75,1510.3,0.0,What is the tenure for a Home Loan?,2.0,
1,0,0,0.0,3.0,0.0,0.0,-1.0,0.0,0,0,1.0,0.0,0.0,2,0.0,30.4,82.15,0.0,The loan processing fees were clearly communicated.,2.0,
1,0,0,0.0,1.0,1.0,0.0,-1.0,0.0,0,0,0.0,0.0,1.0,2,0.0,79.9,79.9,1.0,The branch is always very crowded.,6.0,
1,0,0,0.0,10.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,25.7,251.6,0.0,The ATM network is unreliable.,8.0,
1,0,1,1.0,62.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,24.25,1424.6,0.0,The Debit Card PIN reset process is very confusing.,10.0,
1,0,1,1.0,47.0,1.0,1.0,-1.0,0.0,1,0,0.0,1.0,1.0,2,1.0,99.35,4749.15,1.0,The loan interest rates are too high.,2.0,
1,0,1,1.0,4.0,1.0,1.0,-1.0,0.0,1,1,0.0,0.0,0.0,2,1.0,84.8,371.9,1.0,The loan processing time is too long.,2.0,
1,0,1,1.0,72.0,1.0,1.0,-1.0,0.0,1,1,1.0,1.0,1.0,0,1.0,112.25,8041.65,0.0,How do I check my Savings Account balance?,3.0,
0,0,1,1.0,10.0,1.0,0.0,-1.0,0.0,0,1,1.0,0.0,0.0,2,0.0,55.2,528.35,1.0,The loan disbursement process is very slow.,2.0,
